ID;FROM;TO;WEEK-DAY;HOUR;PRICE;TYPE
87;Genibaú;Canindezinho;7;23;20.1;1
88;Canindezinho;Canindezinho;1;7;8.72;1
89;Parque Presidente Vargas;Parque Presidente Vargas;1;21;4.61;1
90;Canindezinho;Siqueira;6;19;18.69;1
91;Genibaú;Canindezinho;1;0;11.61;1
92;Canindezinho;Genibaú;5;22;16.07;1
93;Genibaú;Canindezinho;2;13;11.3;1
94;Siqueira;Canindezinho;3;13;16.89;1
95;Genibaú;Siqueira;2;14;24.62;1
96;Parque Presidente Vargas;Canindezinho;2;16;24.34;1
97;Parque Presidente Vargas;Canindezinho;1;19;17.93;1
98;Parque Presidente Vargas;Genibaú;6;24;15.85;1
99;Genibaú;Genibaú;1;23;5.53;1
100;Genibaú;Genibaú;5;17;8.8;1
101;Parque Presidente Vargas;Parque Presidente Vargas;4;11;7.2;1
102;Parque Presidente Vargas;Canindezinho;7;11;19.86;1
103;Canindezinho;Parque Presidente Vargas;7;8;25.42;1
104;Parque Presidente Vargas;Genibaú;1;5;20.17;1
105;Siqueira;Canindezinho;4;9;12.56;1
106;Genibaú;Canindezinho;4;9;10.79;1
107;Siqueira;Canindezinho;6;20;19.21;1
108;Canindezinho;Parque Presidente Vargas;3;14;7.09;1
109;Parque Presidente Vargas;Canindezinho;5;14;18.87;1
110;Siqueira;Siqueira;1;2;5.05;1
111;Canindezinho;Genibaú;6;20;9.66;1
112;Parque Presidente Vargas;Genibaú;3;18;14.35;1
113;Parque Presidente Vargas;Canindezinho;4;14;10.68;1
114;Parque Presidente Vargas;Siqueira;2;7;8.72;1
115;Genibaú;Canindezinho;7;21;20.49;1
116;Siqueira;Parque Presidente Vargas;3;22;9.28;1
117;Canindezinho;Canindezinho;5;17;7.26;1
118;Siqueira;Siqueira;7;13;6.17;1
119;Siqueira;Siqueira;7;19;8.73;1
120;Siqueira;Canindezinho;1;10;9.18;1
121;Genibaú;Canindezinho;5;14;24.76;1
122;Genibaú;Genibaú;7;20;5.39;1
123;Siqueira;Canindezinho;5;9;25.89;1
124;Canindezinho;Genibaú;5;12;19.26;1
125;Canindezinho;Siqueira;2;11;22.17;1
126;Canindezinho;Parque Presidente Vargas;2;10;12.91;1
127;Parque Presidente Vargas;Canindezinho;1;12;23.88;1
128;Canindezinho;Parque Presidente Vargas;4;0;18.75;1
129;Genibaú;Parque Presidente Vargas;1;10;24.16;1
130;Canindezinho;Canindezinho;1;6;5.38;1
131;Canindezinho;Genibaú;1;21;21.21;1
132;Canindezinho;Parque Presidente Vargas;7;9;10.72;1
133;Canindezinho;Genibaú;6;14;10.83;1
134;Siqueira;Canindezinho;5;14;10.13;1
135;Parque Presidente Vargas;Siqueira;7;4;20.36;1
136;Genibaú;Genibaú;6;7;6.87;1
137;Parque Presidente Vargas;Canindezinho;6;14;9.49;1
138;Parque Presidente Vargas;Genibaú;6;13;19.61;1
139;Parque Presidente Vargas;Canindezinho;4;18;22.74;1
140;Canindezinho;Parque Presidente Vargas;5;10;14.29;1
141;Genibaú;Siqueira;7;4;15.62;1
142;Parque Presidente Vargas;Canindezinho;6;18;24.8;1
143;Siqueira;Genibaú;3;12;7.42;1
144;Canindezinho;Canindezinho;3;10;7.19;1
145;Parque Presidente Vargas;Genibaú;3;10;22.04;1
146;Genibaú;Parque Presidente Vargas;6;17;23.74;1
147;Parque Presidente Vargas;Genibaú;1;6;15.37;1
148;Siqueira;Siqueira;4;7;8.16;1
149;Siqueira;Genibaú;1;3;8.48;1
150;Canindezinho;Parque Presidente Vargas;4;10;21.52;1
151;Canindezinho;Genibaú;3;7;20.47;1
152;Siqueira;Canindezinho;4;14;7.08;1
153;Genibaú;Parque Presidente Vargas;6;2;23.25;1
154;Siqueira;Siqueira;7;22;4.59;1
155;Canindezinho;Siqueira;2;12;18.72;1
156;Genibaú;Parque Presidente Vargas;2;7;23.67;1
157;Parque Presidente Vargas;Canindezinho;1;22;5.66;1
158;Canindezinho;Canindezinho;1;24;7.19;1
159;Parque Presidente Vargas;Canindezinho;2;7;22.6;1
160;Siqueira;Siqueira;7;20;4.63;1
161;Siqueira;Parque Presidente Vargas;5;20;13.69;1
162;Parque Presidente Vargas;Siqueira;7;22;20.93;1
163;Parque Presidente Vargas;Siqueira;7;10;17.24;1
164;Genibaú;Siqueira;4;6;14.26;1
165;Canindezinho;Siqueira;4;10;23.15;1
166;Canindezinho;Parque Presidente Vargas;7;13;19.8;1
167;Canindezinho;Genibaú;6;9;17.95;1
168;Siqueira;Parque Presidente Vargas;3;20;17.19;1
169;Genibaú;Genibaú;1;20;4.89;1
170;Parque Presidente Vargas;Genibaú;1;23;11.06;1
171;Canindezinho;Siqueira;2;10;13.07;1
172;Canindezinho;Genibaú;1;21;14.13;1
173;Genibaú;Canindezinho;2;9;19.85;1
174;Canindezinho;Canindezinho;7;24;6.54;1
175;Canindezinho;Genibaú;1;13;7.97;1
176;Genibaú;Genibaú;1;8;8.32;1
177;Genibaú;Parque Presidente Vargas;2;7;20.49;1
178;Canindezinho;Siqueira;7;11;16.52;1
179;Siqueira;Parque Presidente Vargas;6;13;9.33;1
180;Siqueira;Siqueira;3;14;6.36;1
181;Genibaú;Parque Presidente Vargas;4;18;10.01;1
182;Siqueira;Canindezinho;7;17;23.37;1
183;Parque Presidente Vargas;Canindezinho;5;17;9.63;1
184;Parque Presidente Vargas;Parque Presidente Vargas;7;3;3.68;1
185;Canindezinho;Siqueira;7;17;25.08;1
186;Parque Presidente Vargas;Canindezinho;7;19;20.35;1
187;Canindezinho;Genibaú;1;7;11.91;1
188;Siqueira;Siqueira;7;18;7.81;1
189;Genibaú;Siqueira;7;4;17.15;1
190;Canindezinho;Parque Presidente Vargas;1;16;12.56;1
191;Canindezinho;Siqueira;7;19;18.33;1
192;Canindezinho;Genibaú;4;10;22.4;1
193;Siqueira;Parque Presidente Vargas;6;19;21.32;1
194;Genibaú;Siqueira;2;7;16.17;1
195;Parque Presidente Vargas;Canindezinho;1;4;19.09;1
196;Parque Presidente Vargas;Genibaú;6;8;13.17;1
197;Genibaú;Parque Presidente Vargas;3;13;9.19;1
198;Genibaú;Siqueira;1;8;19.65;1
199;Canindezinho;Canindezinho;7;3;4.7;1
200;Parque Presidente Vargas;Genibaú;2;10;14.52;1
201;Canindezinho;Genibaú;1;19;18.3;1
202;Canindezinho;Parque Presidente Vargas;4;10;21.24;1
203;Siqueira;Parque Presidente Vargas;7;17;13.85;1
204;Parque Presidente Vargas;Siqueira;6;12;21.76;1
205;Parque Presidente Vargas;Parque Presidente Vargas;1;17;8.07;1
206;Siqueira;Genibaú;7;3;16.06;1
207;Parque Presidente Vargas;Siqueira;4;12;15.43;1
208;Genibaú;Genibaú;3;8;7.58;1
209;Siqueira;Genibaú;2;17;13.98;1
210;Parque Presidente Vargas;Canindezinho;7;9;23.35;1
211;Parque Presidente Vargas;Siqueira;4;9;9.95;1
212;Genibaú;Canindezinho;5;8;24.5;1
213;Genibaú;Parque Presidente Vargas;3;17;16.99;1
214;Parque Presidente Vargas;Genibaú;6;12;16.56;1
215;Parque Presidente Vargas;Siqueira;3;23;5.46;1
216;Siqueira;Genibaú;4;13;13.29;1
217;Parque Presidente Vargas;Parque Presidente Vargas;6;20;6.26;1
218;Siqueira;Parque Presidente Vargas;7;21;22.05;1
219;Genibaú;Genibaú;4;10;5.53;1
220;Canindezinho;Canindezinho;6;8;7.92;1
221;Genibaú;Canindezinho;1;1;22.14;1
222;Genibaú;Genibaú;4;13;6.04;1
223;Parque Presidente Vargas;Canindezinho;6;13;22.15;1
224;Parque Presidente Vargas;Canindezinho;2;9;25.21;1
225;Genibaú;Canindezinho;7;20;11.06;1
226;Canindezinho;Canindezinho;3;13;6.88;1
227;Siqueira;Canindezinho;1;19;14.59;1
228;Genibaú;Canindezinho;7;9;18.81;1
229;Genibaú;Parque Presidente Vargas;5;6;15.05;1
230;Genibaú;Genibaú;1;8;8.82;1
231;Siqueira;Genibaú;2;18;17.65;1
232;Siqueira;Siqueira;1;21;4.3;1
233;Parque Presidente Vargas;Parque Presidente Vargas;4;6;4.75;1
234;Parque Presidente Vargas;Siqueira;5;14;10.86;1
235;Canindezinho;Canindezinho;7;17;7.71;1
236;Canindezinho;Parque Presidente Vargas;1;17;11.89;1
237;Parque Presidente Vargas;Siqueira;4;15;10.87;1
238;Parque Presidente Vargas;Genibaú;2;14;22.5;1
239;Canindezinho;Parque Presidente Vargas;6;12;22.17;1
240;Parque Presidente Vargas;Siqueira;1;22;7.28;1
241;Genibaú;Siqueira;1;8;18.19;1
242;Parque Presidente Vargas;Siqueira;5;10;20.94;1
243;Genibaú;Siqueira;7;10;16.9;1
244;Siqueira;Siqueira;2;9;7.09;1
245;Parque Presidente Vargas;Parque Presidente Vargas;3;10;6.46;1
246;Parque Presidente Vargas;Parque Presidente Vargas;5;18;7.2;1
247;Canindezinho;Canindezinho;6;11;7.34;1
248;Genibaú;Siqueira;6;24;22.17;1
249;Parque Presidente Vargas;Siqueira;6;8;24.78;1
250;Siqueira;Siqueira;4;7;6.76;1
251;Canindezinho;Genibaú;2;23;7.24;1
252;Genibaú;Genibaú;4;23;5.55;1
253;Siqueira;Parque Presidente Vargas;4;10;18.06;1
254;Siqueira;Canindezinho;7;18;12.4;1
255;Siqueira;Parque Presidente Vargas;5;24;8.32;1
256;Canindezinho;Siqueira;7;21;7.36;1
257;Parque Presidente Vargas;Siqueira;6;23;9.77;1
258;Parque Presidente Vargas;Parque Presidente Vargas;5;20;4.8;1
259;Genibaú;Canindezinho;6;23;13.34;1
260;Canindezinho;Parque Presidente Vargas;4;10;11.9;1
261;Canindezinho;Siqueira;4;19;19.19;1
262;Parque Presidente Vargas;Parque Presidente Vargas;5;10;6.85;1
263;Canindezinho;Siqueira;1;9;10.36;1
264;Parque Presidente Vargas;Siqueira;2;17;10.64;1
265;Genibaú;Genibaú;6;10;7.26;1
266;Parque Presidente Vargas;Canindezinho;1;0;20.26;1
267;Parque Presidente Vargas;Genibaú;1;0;17.37;1
268;Genibaú;Genibaú;6;10;5.51;1
269;Canindezinho;Canindezinho;7;11;6.15;1
270;Siqueira;Canindezinho;6;7;22.72;1
271;Genibaú;Canindezinho;5;11;16.15;1
272;Parque Presidente Vargas;Canindezinho;5;20;14.78;1
273;Parque Presidente Vargas;Canindezinho;7;9;16.9;1
274;Genibaú;Siqueira;1;13;9.58;1
275;Parque Presidente Vargas;Canindezinho;1;0;9.05;1
276;Genibaú;Genibaú;7;5;5.51;1
277;Canindezinho;Canindezinho;4;10;6.62;1
278;Siqueira;Parque Presidente Vargas;1;10;22.26;1
279;Genibaú;Parque Presidente Vargas;7;1;19.31;1
280;Parque Presidente Vargas;Genibaú;5;13;8.32;1
281;Siqueira;Siqueira;1;3;4.99;1
282;Canindezinho;Canindezinho;1;3;4.33;1
283;Genibaú;Genibaú;1;5;5.27;1
284;Siqueira;Parque Presidente Vargas;1;5;14.71;1
285;Siqueira;Genibaú;1;18;9.31;1
286;Siqueira;Parque Presidente Vargas;4;11;21.64;1
287;Parque Presidente Vargas;Genibaú;7;17;18.07;1
288;Parque Presidente Vargas;Parque Presidente Vargas;1;7;8.23;1
289;Parque Presidente Vargas;Parque Presidente Vargas;7;10;6.37;1
290;Parque Presidente Vargas;Siqueira;3;11;16.7;1
291;Genibaú;Siqueira;7;17;9.65;1
292;Canindezinho;Canindezinho;5;19;7.33;1
293;Siqueira;Parque Presidente Vargas;1;4;11.81;1
294;Genibaú;Canindezinho;4;9;21.43;1
295;Parque Presidente Vargas;Siqueira;1;10;20.14;1
296;Canindezinho;Siqueira;6;10;21.66;1
297;Siqueira;Canindezinho;1;6;22.99;1
298;Genibaú;Parque Presidente Vargas;7;6;16.44;1
299;Parque Presidente Vargas;Parque Presidente Vargas;4;10;6.69;1
300;Canindezinho;Siqueira;4;18;23.77;1
301;Canindezinho;Canindezinho;3;7;7.42;1
302;Genibaú;Genibaú;1;7;8.16;1
303;Parque Presidente Vargas;Parque Presidente Vargas;5;11;6.56;1
304;Parque Presidente Vargas;Genibaú;3;20;17.49;1
305;Parque Presidente Vargas;Genibaú;4;14;12.24;1
306;Genibaú;Siqueira;6;12;7.74;1
307;Canindezinho;Siqueira;1;17;18.62;1
308;Siqueira;Genibaú;6;19;18.46;1
309;Genibaú;Siqueira;2;7;25.88;1
310;Genibaú;Genibaú;2;8;8.1;1
311;Parque Presidente Vargas;Canindezinho;7;22;10.64;1
312;Parque Presidente Vargas;Siqueira;4;21;14.69;1
313;Parque Presidente Vargas;Genibaú;7;10;22.83;1
314;Canindezinho;Genibaú;1;8;15.6;1
315;Genibaú;Genibaú;7;9;7.42;1
316;Canindezinho;Genibaú;7;21;20.85;1
317;Parque Presidente Vargas;Siqueira;2;8;21.49;1
318;Siqueira;Siqueira;1;9;8.34;1
319;Siqueira;Parque Presidente Vargas;6;17;12.49;1
320;Genibaú;Genibaú;6;20;3.76;1
321;Genibaú;Siqueira;6;11;23.59;1
322;Genibaú;Siqueira;5;8;15.27;1
323;Parque Presidente Vargas;Parque Presidente Vargas;5;15;6.75;1
324;Siqueira;Genibaú;7;5;16.54;1
325;Canindezinho;Parque Presidente Vargas;7;23;21.04;1
326;Siqueira;Siqueira;6;5;5.57;1
327;Parque Presidente Vargas;Genibaú;7;18;11.35;1
328;Parque Presidente Vargas;Canindezinho;4;13;13.61;1
329;Parque Presidente Vargas;Siqueira;7;20;22.38;1
330;Parque Presidente Vargas;Genibaú;3;8;10.01;1
331;Canindezinho;Parque Presidente Vargas;6;13;17.08;1
332;Parque Presidente Vargas;Canindezinho;5;12;15.85;1
333;Siqueira;Canindezinho;3;14;22.44;1
334;Canindezinho;Genibaú;7;9;14.22;1
335;Canindezinho;Siqueira;1;23;9.65;1
336;Siqueira;Siqueira;4;22;4.55;1
337;Genibaú;Canindezinho;7;7;23.03;1
338;Parque Presidente Vargas;Genibaú;1;21;4.98;1
339;Genibaú;Siqueira;7;22;12.39;1
340;Genibaú;Canindezinho;5;20;9.79;1
341;Genibaú;Canindezinho;3;20;5.95;1
342;Genibaú;Canindezinho;2;19;21.25;1
343;Siqueira;Siqueira;7;17;8.71;1
344;Siqueira;Siqueira;5;12;7.18;1
345;Canindezinho;Canindezinho;6;22;4.86;1
346;Parque Presidente Vargas;Parque Presidente Vargas;2;11;6.8;1
347;Siqueira;Siqueira;4;10;6.05;1
348;Canindezinho;Genibaú;4;10;11.23;1
349;Siqueira;Siqueira;4;7;7;1
350;Parque Presidente Vargas;Siqueira;6;14;16.91;1
351;Parque Presidente Vargas;Siqueira;5;18;11.74;1
352;Parque Presidente Vargas;Canindezinho;5;10;22.39;1
353;Genibaú;Siqueira;1;14;8.24;1
354;Siqueira;Genibaú;2;18;15.33;1
355;Canindezinho;Canindezinho;4;10;6.61;1
356;Canindezinho;Genibaú;1;18;18.82;1
357;Siqueira;Siqueira;4;12;7.09;1
358;Parque Presidente Vargas;Parque Presidente Vargas;2;8;8.32;1
359;Genibaú;Canindezinho;1;19;16.07;1
360;Parque Presidente Vargas;Canindezinho;1;6;22.95;1
361;Parque Presidente Vargas;Canindezinho;6;13;14.59;1
362;Canindezinho;Canindezinho;4;8;7.49;1
363;Genibaú;Canindezinho;6;9;25.34;1
364;Parque Presidente Vargas;Parque Presidente Vargas;7;2;4.93;1
365;Genibaú;Siqueira;2;10;21.53;1
366;Siqueira;Canindezinho;6;16;7.48;1
367;Genibaú;Genibaú;4;19;8.06;1
368;Genibaú;Canindezinho;4;12;21.7;1
369;Parque Presidente Vargas;Siqueira;7;21;7.89;1
370;Genibaú;Parque Presidente Vargas;2;17;15.62;1
371;Parque Presidente Vargas;Parque Presidente Vargas;6;14;6.82;1
372;Canindezinho;Canindezinho;1;2;4.11;1
373;Genibaú;Canindezinho;4;7;21.35;1
374;Canindezinho;Genibaú;6;10;9.52;1
375;Genibaú;Parque Presidente Vargas;7;0;12.38;1
376;Genibaú;Parque Presidente Vargas;3;13;11.37;1
377;Canindezinho;Siqueira;5;17;18.4;1
378;Genibaú;Genibaú;2;7;9.02;1
379;Parque Presidente Vargas;Siqueira;2;22;8.55;1
380;Genibaú;Siqueira;1;13;24.16;1
381;Parque Presidente Vargas;Parque Presidente Vargas;1;5;4.17;1
382;Canindezinho;Siqueira;2;14;18.57;1
383;Canindezinho;Parque Presidente Vargas;4;13;6.9;1
384;Parque Presidente Vargas;Canindezinho;3;18;23.97;1
385;Parque Presidente Vargas;Genibaú;2;23;12.61;1
386;Genibaú;Canindezinho;2;18;26.32;1
387;Genibaú;Genibaú;4;8;7.32;1
388;Canindezinho;Genibaú;7;20;9.05;1
389;Canindezinho;Parque Presidente Vargas;2;21;11.1;1
390;Genibaú;Siqueira;2;10;21.81;1
391;Canindezinho;Parque Presidente Vargas;7;19;18.15;1
392;Parque Presidente Vargas;Parque Presidente Vargas;3;4;3.89;1
393;Siqueira;Genibaú;7;23;22.35;1
394;Parque Presidente Vargas;Parque Presidente Vargas;3;14;6.33;1
395;Parque Presidente Vargas;Siqueira;6;16;15.77;1
396;Parque Presidente Vargas;Siqueira;6;15;13.45;1
397;Canindezinho;Parque Presidente Vargas;4;10;10.9;1
398;Canindezinho;Genibaú;6;13;16.58;1
399;Siqueira;Parque Presidente Vargas;7;10;10.58;1
400;Canindezinho;Canindezinho;3;24;5.87;1
401;Siqueira;Parque Presidente Vargas;2;9;11.04;1
402;Siqueira;Canindezinho;6;7;21.06;1
403;Siqueira;Genibaú;4;10;10.12;1
404;Parque Presidente Vargas;Canindezinho;1;10;20.34;1
405;Siqueira;Genibaú;4;19;12.14;1
406;Siqueira;Siqueira;1;16;6.4;1
407;Genibaú;Genibaú;5;22;4.79;1
408;Genibaú;Parque Presidente Vargas;6;11;20.51;1
409;Genibaú;Canindezinho;7;20;20.33;1
410;Genibaú;Genibaú;2;6;5.18;1
411;Parque Presidente Vargas;Siqueira;7;13;23.48;1
412;Genibaú;Siqueira;1;0;22.48;1
413;Siqueira;Parque Presidente Vargas;7;21;14.38;1
414;Genibaú;Parque Presidente Vargas;6;10;14.64;1
415;Canindezinho;Canindezinho;3;21;5.27;1
416;Siqueira;Siqueira;7;8;6.94;1
417;Parque Presidente Vargas;Siqueira;6;19;18.17;1
418;Parque Presidente Vargas;Siqueira;2;23;19.03;1
419;Genibaú;Siqueira;3;10;12.18;1
420;Genibaú;Parque Presidente Vargas;6;12;15.92;1
421;Parque Presidente Vargas;Siqueira;5;19;10.46;1
422;Siqueira;Parque Presidente Vargas;3;12;20.18;1
423;Canindezinho;Genibaú;4;14;18.69;1
424;Siqueira;Canindezinho;6;16;20.63;1
425;Canindezinho;Parque Presidente Vargas;6;19;18.85;1
426;Parque Presidente Vargas;Siqueira;3;8;16.45;1
427;Genibaú;Genibaú;7;22;4.22;1
428;Canindezinho;Parque Presidente Vargas;4;9;22.66;1
429;Canindezinho;Genibaú;2;12;11.48;1
430;Parque Presidente Vargas;Canindezinho;5;18;18.91;1
431;Canindezinho;Siqueira;7;24;13.33;1
432;Genibaú;Parque Presidente Vargas;6;24;24.17;1
433;Canindezinho;Parque Presidente Vargas;6;13;6.59;1
434;Parque Presidente Vargas;Siqueira;7;23;10.24;1
435;Canindezinho;Genibaú;5;20;13.17;1
436;Parque Presidente Vargas;Siqueira;5;12;11.75;1
437;Siqueira;Canindezinho;1;11;13.91;1
438;Parque Presidente Vargas;Canindezinho;3;23;18.67;1
439;Genibaú;Genibaú;1;10;5.69;1
440;Canindezinho;Siqueira;7;19;9.46;1
441;Canindezinho;Genibaú;5;11;14.71;1
442;Siqueira;Canindezinho;7;17;16.43;1
443;Parque Presidente Vargas;Parque Presidente Vargas;2;20;4.9;1
444;Siqueira;Parque Presidente Vargas;2;21;7.54;1
445;Siqueira;Canindezinho;6;1;17.19;1
446;Siqueira;Parque Presidente Vargas;2;14;24.14;1
447;Canindezinho;Genibaú;1;20;6.37;1
448;Canindezinho;Siqueira;5;12;22.84;1
449;Canindezinho;Parque Presidente Vargas;4;14;9.83;1
450;Canindezinho;Siqueira;5;12;19.25;1
451;Genibaú;Parque Presidente Vargas;2;10;22.4;1
452;Parque Presidente Vargas;Genibaú;3;13;10.48;1
453;Siqueira;Genibaú;6;8;25.17;1
454;Canindezinho;Canindezinho;5;14;6.73;1
455;Siqueira;Parque Presidente Vargas;6;18;14.2;1
456;Genibaú;Parque Presidente Vargas;4;12;21.64;1
457;Genibaú;Parque Presidente Vargas;3;4;8.66;1
458;Siqueira;Genibaú;3;20;13.22;1
459;Siqueira;Canindezinho;2;24;23.84;1
460;Siqueira;Parque Presidente Vargas;1;16;16.38;1
461;Parque Presidente Vargas;Parque Presidente Vargas;2;11;7.01;1
462;Canindezinho;Parque Presidente Vargas;2;10;24.68;1
463;Siqueira;Siqueira;7;13;6.14;1
464;Siqueira;Genibaú;4;24;19.69;1
465;Canindezinho;Parque Presidente Vargas;6;22;12.57;1
466;Canindezinho;Parque Presidente Vargas;5;22;8.07;1
467;Canindezinho;Canindezinho;2;7;8.14;1
468;Siqueira;Siqueira;1;3;5.17;1
469;Genibaú;Parque Presidente Vargas;7;9;8.4;1
470;Siqueira;Canindezinho;3;20;10.38;1
471;Siqueira;Parque Presidente Vargas;4;23;23.33;1
472;Canindezinho;Canindezinho;2;10;6.91;1
473;Genibaú;Genibaú;6;8;7.79;1
474;Genibaú;Parque Presidente Vargas;5;16;16.38;1
475;Siqueira;Siqueira;7;13;7.25;1
476;Parque Presidente Vargas;Canindezinho;2;18;9.81;1
477;Parque Presidente Vargas;Parque Presidente Vargas;1;24;6.03;1
478;Siqueira;Siqueira;3;22;5.29;1
479;Genibaú;Siqueira;6;20;11.78;1
480;Canindezinho;Canindezinho;3;20;5.33;1
481;Parque Presidente Vargas;Parque Presidente Vargas;6;10;6.71;1
482;Parque Presidente Vargas;Parque Presidente Vargas;5;7;6.97;1
483;Canindezinho;Siqueira;2;20;18.15;1
484;Siqueira;Siqueira;3;12;7.41;1
485;Parque Presidente Vargas;Genibaú;4;20;7.69;1
486;Parque Presidente Vargas;Parque Presidente Vargas;1;11;6.49;1
487;Genibaú;Canindezinho;7;21;9.59;1
488;Genibaú;Genibaú;5;10;6.81;1
489;Genibaú;Siqueira;7;6;17.87;1
490;Canindezinho;Canindezinho;1;23;5.07;1
491;Canindezinho;Canindezinho;3;22;3.92;1
492;Siqueira;Siqueira;1;1;4.89;1
493;Canindezinho;Genibaú;1;13;13.18;1
494;Siqueira;Siqueira;7;4;4.91;1
495;Genibaú;Canindezinho;2;20;6.99;1
496;Parque Presidente Vargas;Siqueira;5;7;8.48;1
497;Siqueira;Genibaú;5;8;9.65;1
498;Siqueira;Siqueira;2;23;3.76;1
499;Siqueira;Siqueira;7;2;5.37;1
500;Genibaú;Genibaú;6;8;8.26;1
501;Parque Presidente Vargas;Siqueira;1;15;11.8;1
502;Parque Presidente Vargas;Genibaú;4;20;20.85;1
503;Siqueira;Canindezinho;7;9;14.98;1
